DATE,PROGRAM #,PART #,CUSTOMER,DESCRIPTION,
Jan-00,000001,L050001J,HAN KOOK,,
Apr-00,000002,L050002J,HAN KOOK,,
Apr-00,000003,FC010019J,AWC,,
Apr-00,000004,FC010022J,HANPAC,,
Apr-00,000005,FC010023J,TAE HWA,,
Apr-00,000006,FC010024J,HAN KOOK,,
Apr-00,000007,FC010024M,HAN KOOK,,
Apr-00,000008,FL050003J,HAN KOOK,,
Apr-00,000009,FH020002J,AWC,,
Apr-00,000010,FH020001J,AWC,,
Apr-00,000011,FC010021J,AWC,,
Apr-00,000012,FC010015J,AWC,,
Apr-00,000013,FL050005J,AWC,,
Apr-00,000014,FL050004J,AWC,,
May-00,000015,FS030001J,HAN KOOK,,
May-00,000016,FS030002J-2,HAN KOOK,,
May-00,000017,FS030002J-1,HAN KOOK,,
May-00,000018,14853,PRAXAIR,100048758,
May-00,000019,FL050006J,AWC,DAX P/N: 117233,
May-00,000020,FC010030J,HAN KOOK,,
May-00,000021,FC010031J,HAN KOOK,,
May-00,000022,FC010032J,HAN KOOK,,
May-00,000023,A-2128780,PRAXAIR,,
May-00,000024,NOT USED,Z,,
May-00,000025,2162513,PRAXAIR,,
May-00,000026,FC010028J,HANPAC,,
May-00,000027,FC010029J,HAN KOOK,,
May-00,000028,FC010040J,HAN KOOK,,
May-00,000029,FC010041J,TAE HWA,,
May-00,000030,FC010042J,TAE HWA,,
May-00,000031,FC010044J,HAN KOOK,,
May-00,000032,FC010043J,TAE HWA,,
May-00,000033,FL050008J,AWC,,
May-00,000034,FH020026J,VALUDIC,,
May-00,000035,FC010047J,TAE HWA,,
May-00,000036,FH020027J,AWC,,
May-00,000037,FR040001J,AWC,,
May-00,000038,FL050012J,HAN KOOK,,
May-00,000039,FC010038J,AWC,,
Jun-00,000040,FC010052J,HAN KOOK,,
Jun-00,000041,FL050014J,HAN KOOK,,
Jun-00,000042,FC010054J,AWC,,
Jun-00,000043,FC010053J,ULTRA SEAL,,
Jun-00,000044,FC010049J,ULTRA SEAL,,
Jun-00,000045,FC010034J,AWC,,
Jun-00,000046,FC010035J,AWC,,
Jun-00,000047,FC010001J,HAN KOOK,,
Jun-00,000048,FS030005J,HAN KOOK,,
Jun-00,000049,FL050017J,HAN KOOK,,
Jun-00,000050,FS030006J,HAN KOOK,,
Jun-00,000051,FC010027J,AWC,,
Jun-00,000052,FS030004J,AWC,,
Jun-00,000053,FL050018J,HAN KOOK,,
Jun-00,000054,NOT USED,Z,,
Jun-00,000055,NOT USED,Z,,
Jun-00,000056,FM060009J,HAN KOOK,,
Jun-00,000057,FC010069J,TAE HWA,,
Jun-00,000058,FH020031J,HAN KOOK,,
Jun-00,000059,FH020030J,HAN KOOK,,
Jun-00,000060,FH020033J,HAN KOOK,,
Jun-00,000061,FC010072J,HAN KOOK,,
Jun-00,000062,FH020032J,HAN KOOK,,
Jun-00,000063,FC010073J,HAN KOOK,,
Jun-00,000064,FH020027J,ULTRA SEAL,,
Jun-00,000065,FC010063J,ULTRA SEAL,,
Jun-00,000066,FC010058J,PRAXAIR,,
Jun-00,000067,FC010079J,PRAXAIR,,
Jun-00,000068,A-2068106,PRAXAIR,,
Jun-00,000069,2124493,PRAXAIR,,
Jun-00,000070,A-2162514,PRAXAIR,,
Jul-00,000071,FC010076J,HAN KOOK,,
Jul-00,000072,FC010057J,HAN KOOK,,
Jul-00,000073,FC010071J,HAN KOOK,,
Jul-00,000074,FC010070J,HAN KOOK,,
Jul-00,000075,FC010061J,ULTRA SEAL,,
Jul-00,000076,FC010080J,HAN KOOK,,
Jul-00,000077,FC010091J,TAE HWA,,
Jul-00,000078,FR040019J,ULTRA SEAL,,
Jul-00,000079,FM060019J,PRAXAIR,,
Jul-00,000080,114076,AWC,OBSOLETE IN DAX,
Jul-00,000081,1C0009,TAE HWA,,
Jul-00,000082,FC010001J,HAN KOOK,,
Jul-00,000083,FC010089J,ULTRA SEAL,,
Jul-00,000084,FC010075J,HAN KOOK,,
Jul-00,000085,FC010074J,HAN KOOK,,
Jul-00,000086,FL050025J,HAN KOOK,,
Jul-00,000087,FL050023J,HAN KOOK,,
Jul-00,000088,FL050024J,HAN KOOK,,
Jul-00,000089,FM060011J,AWC,,
Jul-00,000090,FM060019B,PRAXAIR,,
Jul-00,000091,FC010101J,ULTRA SEAL,,
Jul-00,000092,FL050022J,AWC,,
Jul-00,000093,114256,AWC,OBSOLETE IN DAX,
Aug-00,000094,FH020034J,ULTRA SEAL,,
Aug-00,000095,FH020035J,ULTRA SEAL,,
Aug-00,000096,FH020036J,ULTRA SEAL,,
Aug-00,000097,FH020037J,ULTRA SEAL,,
