part no.,spring BOM,spring diameter (in.),cut length(in)
FH024372,003x040x100 ELG,25.745,80.88
FH024385,003x040x100 ELG,6.879,21.625
FH024368,003x040x100 ELG,6.758,21.25
FH024367,003x040x100 ELG,6.695,21
FH024369,003x040x100 ELG,9.16,28.8125
FH024370,003x040x100 ELG,9.219,29
FC01N13104,304D,3.25,10.21
FC01N10726,500MS,2.41,7.571
FH021012,003x040x100,4.372,13.7351
FC01N11428-I,304D,8.064,25.379
FC01N11428-O,304D,8.314,26.164
FH024388,003X040X100,8.375,26.351
FC01N10938,500MS,1.638,4.875
FC01N13080,500MS,2.394,7.521
FH024389,004X060X155,1.81,5.746
FC019148-4,500MS,1.893,5.947
C010174,304D,5.859,18.452
FH021558,003X040X078,5.724,18.022
FC01N13144,500MS,2.558,8.036
FH021436,003X040X100,5.476,17.243
C011272,304C,0.629,2.004
FH024414,004X060X155,7.334,23.1
FH024431,005X090X196,6.459,20.382
FC01N13140,304C,1.079,3.418
FC014822,304C,0.869,2.758
FH024419,004X060X147,7.691,24.222
FH024416,003X040X094,2.943,9.286
FH024382,003X040X100,4.478,14.108
FH021676,008X090X280,4.681,14.796
FC014004,304C,1.502,4.747
FC01N13078,500MS,1.914,6.013
FC01N13156,500MS,1.662,5.221
FC012751,304B,2.263,7.129
FH021531,003X040X100,3.999,12.603
FH024415,003X040X094,3.686,11.62
FC017456,316D,2.183,6.903
FH021632,003X040X100,3.25,10.25
C011797,100MS,0.314,1.016
C013552,316E,3.764,11.875
FC015496,304C,1.697,5.359
FH021530,004X060X155,4.437,13.999
FH024391,003X040X100,3.249,10.247
FC014731,200MS,0.827,2.638
FC01N11944,300MS,3.75,11.836
FH023499,003X040X100,5.125,16.141
FH024433,004X060X165,11.256,35.422
FH024434,040X060X165,11.736,36.93
FC014949,316B,0.448,1.427
FC01N12687,304D,8.071,25.401
FC01N12908,200MS,15.174,47.711
FC01N12907J,200MS,11.17,35.132
C012603,316B,0.177,0.576
FC01N12133,316C,0.443,1.42
FC01N13216,200MS,4.51,14.209
FC01N13215,500MS,1.645,5.168
FH024420,040X060X147,8.845,27.847
FH024422,004X060X147,9.595,30.204
FH024197,004X060X147,9.515,29.952
FH024409,004X060X155,1.453,4.625
C012407,400MS,1.693,5.394
FH024405,003X040X094,0.975,3.103
FH024408,003X040X134,2.325,7.344
FH024406,003X040X094,1.675,5.302
FC015072-I,300MS,4.782,15.078
FC015072-O,300MS,5.472,17.246
FH022863,003X040X100,11.657,36.662
FH024364,003X040X078,2.508,7.919
